lesson_key,group,title,url
101,Basics,Basic Building Blocks,/Basic-Building-Blocks/
102,Basics,Workspace and Files,/Basic-Building-Blocks/
103,Basics,Sequences of Numbers,/Sequence-of-Numbers/
104,Basics,Vectors,/Vectors/
105,Basics,Missing Values,/Missing-Values/
106,Basics,Subsetting Vectors,/Subsetting-Vectors/
107,Basics,Matrices and Data Frames,/Matrices-and-Data-Frames/
108,Basics,Logic,/Logic/
109,Basics,Functions,/Functions/
110,Basics,lapply and sapply,/lapply and sapply/
111,Stats,One-Way ANOVA,/One-Way-ANOVA/
112,Stats,Data Cleaning with OpenRefine,/Basic-Building-Blocks/
113,Stats,Exact Test of Goodness-of-Fit,/Exact-Test-of-Goodness-of-Fit/
114,Stats,Kruskal-Wallis,/Kruskal-Wallis/
115,Basics,vapply and tapply,/vapply-and-tapply/
116,Basics,Looking at Data,Looking-at-Data/
117,Basics,Simulation,/Simulation/
118,Basics,Dates and Times,dates-and-times/
119,Basics,Base Graphics,/base-graphics/
120,Stats,Introduction to Bayes's Theorem,/introduction-to-bayes-theorem/
121,Stats,Variables,/variables/
122,Stats,Exploratory Graphs,/exploratory-graphs/
123,Stats,General Linear Models,/general-linear-models/
124,Stats,bioconductor,/bioconductor/
125,Stats,bioconductor2,/bioconductor2/